Selecciones clasificadas al Mundial de Fútbol 2026;;;;;;;;;
Ranking FIFA (1 abril 2026);País;Director técnico;Federación de fútbol;Confederación;Goles a favor;Goles en contra;Partidos ganados;Partidos empatados;Partidos perdidos
1;France;Didier Deschamps;French Football Federation;UEFA;20;5;7;1;0
2;Spain;Luis de la Fuente;Royal Spanish Football Federation;UEFA;20;5;7;1;0
3;Argentina;Lionel Scaloni;Argentina Football Association;CONMEBOL;26;8;8;1;1
4;England;Thomas Tuchel;The Football Association;UEFA;20;5;7;1;0
5;Portugal;Roberto Martinez;Portuguese Football Federation;UEFA;20;5;7;1;0
6;Brazil;Dorival Junior;Brazilian Football Confederation;CONMEBOL;20;7;6;3;1
7;Netherlands;Ronald Koeman;Royal Dutch Football Association;UEFA;20;5;7;1;0
8;Belgium;Rudi Garcia;Royal Belgian Football Association;UEFA;20;5;7;1;0
9;Germany;Julian Nagelsmann;German Football Association;UEFA;20;5;7;1;0
10;Italy;Luciano Spalletti;Italian Football Federation;UEFA;20;5;7;1;0
11;Morocco;Walid Regragui;Royal Moroccan Football Federation;CAF;17;2;5;1;0
12;Uruguay;Marcelo Bielsa;Uruguayan Football Association;CONMEBOL;17;7;6;3;1
13;Colombia;Nestor Lorenzo;Colombian Football Federation;CONMEBOL;16;4;5;5;0
14;Croatia;Zlatko Dalic;Croatian Football Federation;UEFA;19;5;6;1;1
15;Mexico;Javier Aguirre;Mexican Football Federation;Concacaf;15;8;4;3;1
16;United States;Mauricio Pochettino;U.S. Soccer Federation;Concacaf;16;9;5;1;2
17;Japan;Hajime Moriyasu;Japan Football Association;AFC;24;2;6;0;0
18;Iran;Amir Ghalenoei;Football Federation Islamic Republic of Iran;AFC;16;8;4;2;0
19;Senegal;Pape Thiaw;Senegalese Football Federation;CAF;11;2;5;1;0
20;Denmark;Brian Riemer;Danish Football Association;UEFA;17;6;6;1;1
22;Austria;Ralf Rangnick;Austrian Football Association;UEFA;16;6;5;1;2
23;Korea Republic;Hong Myung-bo;Korea Football Association;AFC;14;7;4;2;0
25;Australia;Tony Popovic;Football Australia;AFC;14;6;4;1;1
26;Turkey;Vincenzo Montella;Turkish Football Federation;UEFA;14;7;5;1;2
27;Serbia;Dragan Stojkovic;Football Association of Serbia;UEFA;14;7;5;1;2
28;Sweden;Jon Dahl Tomasson;Swedish Football Association;UEFA;14;7;5;1;2
29;Egypt;Hossam Hassan;Egyptian Football Association;CAF;18;2;5;1;0
30;Canada;Jesse Marsch;Canada Soccer;Concacaf;14;9;4;2;2
31;Paraguay;Gustavo Alfaro;Paraguayan Football Association;CONMEBOL;13;9;6;3;1
32;Panama;Thomas Christiansen;Panamanian Football Federation;Concacaf;11;9;4;2;2
34;Nigeria;Eric Chelle;Nigeria Football Federation;CAF;10;6;4;2;2
36;Costa Rica;Miguel Herrera;Costa Rican Football Federation;Concacaf;10;9;3;2;3
37;Tunisia;Sabri Lamouchi;Tunisian Football Federation;CAF;9;0;4;2;0
41;Czech Republic;Ivan Hasek;Football Association of the Czech Republic;UEFA;11;8;4;1;3
43;Qatar;Julen Lopetegui;Qatar Football Association;AFC;17;8;4;1;1
45;Cameroon;Marc Brys;Cameroonian Football Federation;CAF;16;4;4;0;2
46;Scotland;Steve Clarke;Scottish Football Association;UEFA;11;8;4;1;3
47;Uzbekistan;Timur Kapadze;Uzbekistan Football Association;AFC;11;7;3;3;0
50;South Africa;Hugo Broos;South African Football Association;CAF;10;5;4;2;0
51;Saudi Arabia;Herve Renard;Saudi Arabian Football Federation;AFC;7;6;3;1;2
52;Bosnia and Herzegovina;Sergej Barbarez;Football Association of Bosnia and Herzegovina;UEFA;11;8;4;1;3
53;Iraq;Jesus Casas;Iraq Football Association;AFC;7;7;2;1;3
54;Jordan;Jamal Sellami;Jordan Football Association;AFC;16;7;4;1;1
55;Ghana;Otto Addo;Ghana Football Association;CAF;14;7;5;0;1
56;DR Congo;Sebastien Desabre;Congolese Association Football Federation;CAF;9;6;4;2;2
57;Haiti;Sebastien Migne;Haitian Football Federation;Concacaf;10;9;3;2;3
58;New Zealand;Darren Bazeley;New Zealand Football;OFC;7;1;2;0;0
59;Cabo Verde;Bubista;Cape Verdean Football Federation;CAF;10;1;5;1;0
